0,1,2,3,4,5,6,7,8,9,10,Timestamp,Cumulative_Time
3.1484375,0,55636,16,55636,0,0,55636,55636,0,0,2024-11-18 23:57:35.437500000,-144.5625
3.19140625,0,55636,16,55636,0,0,55636,55636,0,0,2024-11-18 23:57:38.628906250,-141.37109375
3.2109375,0,55636,16,55636,0,0,55636,55636,0,0,2024-11-18 23:57:41.839843750,-138.16015625
3.25390625,0,55636,16,55636,0,0,55636,55636,0,0,2024-11-18 23:57:45.093750000,-134.90625
3.2734375,0,55636,16,55636,0,0,55636,55636,0,0,2024-11-18 23:57:48.367187500,-131.6328125
3.31640625,0,55636,16,55636,0,0,55636,55636,0,0,2024-11-18 23:57:51.683593750,-128.31640625
3.3359375,0,55636,16,55636,0,0,55636,55636,0,0,2024-11-18 23:57:55.019531250,-124.98046875
3.37890625,0,55636,16,55636,0,0,55636,55636,0,0,2024-11-18 23:57:58.398437500,-121.6015625
3.3984375,0,55636,16,55636,0,0,55636,55636,0,0,2024-11-18 23:58:01.796875000,-118.203125
3.44140625,0,55636,16,55636,0,0,55636,55636,0,0,2024-11-18 23:58:05.238281250,-114.76171875
3.4609375,0,55636,16,55636,0,0,55636,55636,0,0,2024-11-18 23:58:08.699218750,-111.30078125
3.50390625,0,55636,16,55636,0,0,55636,55636,0,0,2024-11-18 23:58:12.203125000,-107.796875
3.5234375,0,55636,16,55636,0,0,55636,55636,0,0,2024-11-18 23:58:15.726562500,-104.2734375
3.56640625,0,55636,16,55636,0,0,55636,55636,0,0,2024-11-18 23:58:19.292968750,-100.70703125
3.5859375,0,55636,16,55636,0,0,55636,55636,0,0,2024-11-18 23:58:22.878906250,-97.12109375
4.00390625,0,55636,16,55636,0,0,55636,55636,0,0,2024-11-18 23:58:26.882812500,-93.1171875
4.0234375,0,55636,16,55636,0,0,55636,55636,0,0,2024-11-18 23:58:30.906250000,-89.09375
4.06640625,0,55636,16,55636,0,0,55636,55636,0,0,2024-11-18 23:58:34.972656250,-85.02734375
4.0859375,0,55636,16,55636,0,0,55636,55636,0,0,2024-11-18 23:58:39.058593750,-80.94140625
4.12890625,0,55636,16,55636,0,0,55636,55636,0,0,2024-11-18 23:58:43.187500000,-76.8125
4.1484375,0,55636,16,55636,0,0,55636,55636,0,0,2024-11-18 23:58:47.335937500,-72.6640625
4.19140625,0,55636,16,55636,0,0,55636,55636,0,0,2024-11-18 23:58:51.527343750,-68.47265625
4.2109375,0,55636,16,55636,0,0,55636,55636,0,0,2024-11-18 23:58:55.738281250,-64.26171875
4.25390625,0,55636,16,55636,0,0,55636,55636,0,0,2024-11-18 23:58:59.992187500,-60.0078125
4.2734375,0,55636,16,55636,0,0,55636,55636,0,0,2024-11-18 23:59:04.265625000,-55.734375
4.31640625,0,55636,16,55636,0,0,55636,55636,0,0,2024-11-18 23:59:08.582031250,-51.41796875
4.3359375,0,55636,16,55636,0,0,55636,55636,0,0,2024-11-18 23:59:12.917968750,-47.08203125
4.37890625,0,55636,16,55636,0,0,55636,55636,0,0,2024-11-18 23:59:17.296875000,-42.703125
4.3984375,0,55636,16,55636,0,0,55636,55636,0,0,2024-11-18 23:59:21.695312500,-38.3046875
4.44140625,0,55636,16,55636,0,0,55636,55636,0,0,2024-11-18 23:59:26.136718750,-33.86328125
4.4609375,0,55636,16,55636,0,0,55636,55636,0,0,2024-11-18 23:59:30.597656250,-29.40234375
4.50390625,0,55636,16,55636,0,0,55636,55636,0,0,2024-11-18 23:59:35.101562500,-24.8984375
4.5234375,0,55636,16,55636,0,0,55636,55636,0,0,2024-11-18 23:59:39.625000000,-20.375
4.56640625,0,55636,16,55636,0,0,55636,55636,0,0,2024-11-18 23:59:44.191406250,-15.80859375
4.5859375,0,55636,16,55636,0,0,55636,55636,0,0,2024-11-18 23:59:48.777343750,-11.22265625
5.00390625,0,55636,16,55636,0,0,55636,55636,0,0,2024-11-18 23:59:53.781250000,-6.21875
5.0234375,0,55636,16,55636,0,0,55636,55636,0,0,2024-11-18 23:59:58.804687500,-1.1953125
5.06640625,0,55636,16,55636,0,0,55636,55636,0,0,2024-11-19 00:00:03.871093750,3.87109375
5.0859375,0,55636,16,55636,0,0,55636,55636,0,0,2024-11-19 00:00:08.957031250,8.95703125
5.12890625,0,55636,16,55636,0,0,55636,55636,0,0,2024-11-19 00:00:14.085937500,14.0859375
5.1484375,0,55636,16,55636,0,0,55636,55636,0,0,2024-11-19 00:00:19.234375000,19.234375
5.19140625,0,55636,16,55636,0,0,55636,55636,0,0,2024-11-19 00:00:24.425781250,24.42578125
5.2109375,0,55636,16,55636,0,0,55636,55636,0,0,2024-11-19 00:00:29.636718750,29.63671875
5.25390625,0,55636,16,55636,0,0,55636,55636,0,0,2024-11-19 00:00:34.890625000,34.890625
5.2734375,0,55636,16,55636,0,0,55636,55636,0,0,2024-11-19 00:00:40.164062500,40.1640625
5.31640625,0,55636,16,55636,0,0,55636,55636,0,0,2024-11-19 00:00:45.480468750,45.48046875
5.3359375,0,55636,16,55636,0,0,55636,55636,0,0,2024-11-19 00:00:50.816406250,50.81640625
5.37890625,0,55636,16,55636,0,0,55636,55636,0,0,2024-11-19 00:00:56.195312500,56.1953125
5.3984375,0,55636,16,55636,0,0,55636,55636,0,0,2024-11-19 00:01:01.593750000,61.59375
5.44140625,0,55636,16,55636,0,0,55636,55636,0,0,2024-11-19 00:01:07.035156250,67.03515625
5.4609375,0,55636,16,55636,0,0,55636,55636,0,0,2024-11-19 00:01:12.496093750,72.49609375
5.50390625,0,55636,16,55636,0,0,55636,55636,0,0,2024-11-19 00:01:18.000000000,78.0
5.5234375,0,55636,16,55636,0,0,55636,55636,0,0,2024-11-19 00:01:23.523437500,83.5234375
5.56640625,0,55636,16,55636,0,0,55636,55636,0,0,2024-11-19 00:01:29.089843750,89.08984375
5.5859375,0,55636,16,55636,0,0,55636,55636,0,0,2024-11-19 00:01:34.675781250,94.67578125
6.00390625,0,55636,16,55636,0,0,55636,55636,0,0,2024-11-19 00:01:40.679687500,100.6796875
6.0234375,0,55636,16,55636,0,0,55636,55636,0,0,2024-11-19 00:01:46.703125000,106.703125
6.06640625,0,55636,16,55636,0,0,55636,55636,0,0,2024-11-19 00:01:52.769531250,112.76953125
6.0859375,0,55636,16,55636,0,0,55636,55636,0,0,2024-11-19 00:01:58.855468750,118.85546875
6.12890625,0,55636,16,55636,0,0,55636,55636,0,0,2024-11-19 00:02:04.984375000,124.984375
6.1484375,0,55636,16,55636,0,0,55636,55636,0,0,2024-11-19 00:02:11.132812500,131.1328125
6.19140625,0,55636,16,55636,0,0,55636,55636,0,0,2024-11-19 00:02:17.324218750,137.32421875
6.2109375,0,55636,16,55636,0,0,55636,55636,0,0,2024-11-19 00:02:23.535156250,143.53515625
6.25390625,0,55636,16,55636,0,0,55636,55636,0,0,2024-11-19 00:02:29.789062500,149.7890625
6.2734375,0,55636,16,55636,0,0,55636,55636,0,0,2024-11-19 00:02:36.062500000,156.0625
6.31640625,0,55636,16,55636,0,0,55636,55636,0,0,2024-11-19 00:02:42.378906250,162.37890625
6.3359375,0,55636,16,55636,0,0,55636,55636,0,0,2024-11-19 00:02:48.714843750,168.71484375
6.37890625,0,55636,16,55636,0,0,55636,55636,0,0,2024-11-19 00:02:55.093750000,175.09375
